,name,sector,location,rating,reviews,jobs
2367,Stryker,Medical Equipment ,Gurugram +23 other locations,3.8,461,132
2368,Confidence Petroleum India,Oil & Gas ,Nagpur +52 other locations,3.2,461,10
2369,Seoyon E-hwa Automotive,Auto Components ,Chennai +19 other locations,3.5,460,4
2370,LuLu Group International,Retail ,Kochi +40 other locations,3.4,462,1
2371,Subex,Software Product ,Bengaluru +9 other locations,3.4,460,11
2372,In Time Tec Visionsoft,IT Services & Consulting ,Jaipur +9 other locations,3.2,460,25
2373,Texmaco Rail and Engineering,Engineering & Construction ,Kolkata +50 other locations,3.8,460,16
2374,Iksula,IT Services & Consulting ,Mumbai +11 other locations,3.2,459,4
2375,Stovekraft,Consumer Electronics & Appliances ,Bengaluru +57 other locations,4.0,459,12
2376,Torrent Gas,Oil & Gas ,Ahmedabad +32 other locations,3.1,459,--
2377,Grant Thornton Bharat,Accounting & Auditing ,Gurugram +37 other locations,3.5,459,1
2378,Novotel Hotels,Hospitality ,Mumbai +31 other locations,4.0,458,--
2379,Purplle.com,Retail ,Mumbai +39 other locations,3.6,458,109
2380,Bada Business,Internet ,New Delhi +54 other locations,4.0,458,541
2381,TresVista,Analytics & KPO ,Pune +11 other locations,2.4,458,33
2382,Railtel Corporation Of India,Hardware & Networking ,New Delhi +75 other locations,3.6,457,--
2383,Henkel Adhesives Technologies,Chemicals ,Pune +29 other locations,4.1,457,4
2384,TAO Digital,IT Services & Consulting ,Hyderabad +8 other locations,3.6,458,60
2385,Saudi Binladin Group,Engineering & Construction ,Jeddah +32 other locations,4.3,457,--
2386,Del Monte Foods,Food Processing ,Gurugram +61 other locations,4.0,457,10
2387,St. Xavier's High School,Pharma ,Gurugram +127 other locations,3.7,457,34
2388,Kiswok Industries,Iron & Steel ,Kolkata +8 other locations,3.3,457,4
2389,Avalara Technologies,Software Product ,Pune +6 other locations,2.8,457,13
2390,Indofil Industries,Agro Chemicals ,Bharuch +54 other locations,4.1,457,--
2391,RPG Life Sciences,Pharma ,Ankleshwar +49 other locations,3.6,456,12
2392,Eurokids,Education & Training ,Mumbai +74 other locations,3.9,456,--
2393,Sahyadri Hospital,Healthcare ,Pune +11 other locations,4.2,456,48
2394,Dharampal Premchand,FMCG ,Noida +69 other locations,4.2,455,1
2395,AIRBUS,Aviation ,Bengaluru +11 other locations,3.6,455,1
2396,Flamingo Pharmaceuticals,Pharma ,Mumbai +11 other locations,3.1,455,29
2397,Mahle Anand Thermal Systems,Auto Components ,Pune +16 other locations,4.1,455,--
